"Mobility trend; per stage, modes of travel, purposes of travel, age and sex"
"Sex: Total male and female"
"Margins: Value"
"";"";""
"";"";"Modes of travel";"Total";"Total";"Total";"Car as driver";"Car as driver";"Car as driver";"Car as passenger";"Car as passenger";"Car as passenger";"Train";"Train";"Train";"Bus/metro";"Bus/metro";"Bus/metro";"Bike";"Bike";"Bike";"Walking";"Walking";"Walking";"Other";"Other";"Other"
"";"";"Topic";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage"
"Periods";"Age";"Travel motives";"number";"passenger's mileage";"Minutes";"number";"passenger's mileage";"Minutes";"number";"passenger's mileage";"Minutes";"number";"passenger's mileage";"Minutes";"number";"passenger's mileage";"Minutes";"number";"passenger's mileage";"Minutes";"number";"passenger's mileage";"Minutes";"number";"passenger's mileage";"Minutes"
"2003*";"Total";"Total";"3.30";"11.04";"23.65";"1.04";"16.56";"24.01";"0.44";"19.27";"28.09";"0.07";"49.93";"50.10";"0.14";"11.35";"27.13";"0.87";"3.26";"19.09";"0.62";"1.34";"21.01";"0.11";"17.96";"32.59"
"2003*";"Total";"Travel to/from work, (non)-daily commute";"0.58";"14.93";"24.72";"0.24";"21.21";"29.03";"0.04";"20.68";"30.81";"0.03";"42.04";"42.07";"0.04";"11.31";"25.35";"0.15";"3.58";"17.28";"0.05";"0.87";"10.34";"0.04";"18.52";"27.42"
"2003*";"Total";"Shopping, groceries, fun shopping.";"0.70";"5.10";"14.71";"0.23";"7.13";"14.53";"0.09";"10.59";"19.14";"0.01";"42.21";"45.30";"0.02";"8.61";"24.92";"0.20";"1.89";"12.20";"0.15";"0.88";"12.91";"0.01";"6.48";"16.49"
"2003*";"Total";"Attending education/courses";"0.29";"7.01";"17.86";"0.02";"22.70";"27.48";"0.02";"8.87";"17.07";"0.01";"38.38";"40.66";"0.03";"13.36";"27.76";"0.12";"2.90";"15.66";"0.07";"0.71";"9.60";"0.01";"12.48";"31.10"
"2003*";"Total";"Leisure";"1.15";"12.66";"31.60";"0.30";"19.00";"28.24";"0.23";"22.28";"32.39";"0.02";"65.61";"66.86";"0.03";"11.92";"31.01";"0.28";"4.72";"29.06";"0.27";"2.02";"33.65";"0.03";"18.17";"46.27"
"2003*";"Total";"Other";"0.58";"13.11";"20.52";"0.26";"17.52";"22.83";"0.06";"23.41";"27.44";"0.01";"64.97";"59.53";"0.02";"10.66";"26.43";"0.13";"2.15";"13.29";"0.09";"0.80";"11.81";"0.02";"27.19";"31.94"
"2003*";"18 to 24 years";"Total";"3.89";"11.92";"23.62";"0.95";"16.41";"24.37";"0.49";"20.39";"30.07";"0.21";"46.93";"47.10";"0.40";"12.18";"26.69";"0.95";"3.01";"17.45";"0.73";"1.17";"16.49";"0.16";"13.35";"29.11"
"2003*";"18 to 24 years";"Travel to/from work, (non)-daily commute";"0.90";"12.51";"22.33";"0.27";"18.56";"26.21";"0.08";"19.52";"29.07";"0.05";"38.67";"39.79";"0.10";"11.55";"25.49";"0.23";"3.15";"16.11";"0.11";"0.76";"9.58";"0.07";"13.55";"23.67"
"2003*";"18 to 24 years";"Shopping, groceries, fun shopping.";"0.58";"5.86";"15.14";"0.14";"7.52";"15.04";"0.08";"11.80";"20.73";".";".";".";"0.04";"9.14";"24.13";"0.15";"1.77";"11.54";"0.14";"0.77";"10.81";".";".";"."
"2003*";"18 to 24 years";"Attending education/courses";"0.59";"13.17";"23.27";"0.06";"22.75";"31.59";"0.02";"20.86";"28.75";"0.08";"39.03";"40.82";"0.16";"13.14";"26.48";"0.13";"3.01";"15.71";"0.12";"0.78";"9.62";".";".";"."
