"Provinciebegrotingen; baten en lasten per taakveld"
"Periods: 2023"
""
"Subject";"Provinciale begroting in euro/inwoner|Lasten";"Provinciale begroting in euro/inwoner|Lasten";"Provinciale begroting in euro/inwoner|Lasten";"Provinciale begroting in euro/inwoner|Lasten"
"Regions";"Northern Netherlands (LD)";"East Netherlands (LD)";"West Netherlands (LD)";"South Netherlands (LD)"
"Provincial task areas";"euro/inhabitant";"euro/inhabitant";"euro/inhabitant";"euro/inhabitant"
"Total traffic and transport";"259.0";"160.0";"108.0";"121.0"
"Traffic and transport, other";"13.0";"9.0";"3.0";"17.0"
"Urban renewal";"2.0";"1.0";"1.0";"0.0"
"Bron: CBS"
