"Mobility; traffic participation and participation in public transport "
"Population: Population 6 years or older"
"Margins: Value"
""
"Topic";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Traffic participation";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport";"Use of public transport"
"Sex";"Total male and female";"Total male and female";"Total male and female";"Total male and female";"Total male and female";"Total male and female";"Male";"Male";"Male";"Male";"Male";"Male";"Female";"Female";"Female";"Female";"Female";"Female";"Total male and female";"Total male and female";"Total male and female";"Total male and female";"Total male and female";"Total male and female";"Male";"Male";"Male";"Male";"Male";"Male";"Female";"Female";"Female";"Female";"Female";"Female"
"Periods";"2018";"2019";"2020";"2021";"2022";"2023";"2018";"2019";"2020";"2021";"2022";"2023";"2018";"2019";"2020";"2021";"2022";"2023";"2018";"2019";"2020";"2021";"2022";"2023";"2018";"2019";"2020";"2021";"2022";"2023";"2018";"2019";"2020";"2021";"2022";"2023"
"Personal characteristics";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%"
"Equivalized income: 4th 20% group";"86.8";"86.3";"79.5";"82.6";"83.8";"84.9";"86.1";"86.2";"79.4";"81.8";"83.3";"84.1";"87.5";"86.5";"79.6";"83.5";"84.4";"85.7";"7.5";"8.1";"3.3";"3.3";"5.3";"5.9";"6.9";"7.5";"3.2";"3.2";"4.9";"5.6";"8.1";"8.7";"3.5";"3.4";"5.7";"6.1"
"Equivalized income: 5th 20% group";"86.6";"86.3";"80.0";"81.7";"82.8";"84.2";"85.8";"86.4";"79.4";"80.0";"81.6";"83.4";"87.6";"86.3";"80.7";"83.7";"84.1";"85.1";"8.1";"7.6";"3.4";"3.1";"5.0";"6.6";"7.5";"6.7";"3.2";"2.9";"4.8";"6.1";"8.9";"8.6";"3.6";"3.3";"5.2";"7.2"
"Students with week pass publ. transp.";"88.7";"86.7";"73.5";"79.6";"83.8";"83.6";"88.1";"84.6";"72.9";"76.2";"81.3";"81.1";"89.2";"88.5";"74.1";"82.5";"85.9";"85.7";"40.7";"41.1";"18.6";"23.7";"30.2";"33.3";"39.0";"36.8";"16.1";"20.7";"28.4";"30.0";"42.3";"44.9";"20.8";"26.3";"31.7";"36.1"
"Students with weekend pass publ. transp.";"94.1";"89.0";"81.8";"82.4";"88.7";"86.2";"90.1";"89.0";"78.9";"81.0";"82.3";"84.6";"97.6";"88.9";"84.4";"83.8";"94.4";"87.7";"17.2";"19.4";".";"16.1";"19.2";"19.8";".";".";".";".";".";".";".";".";".";".";".";"."
"Persons without student publ.transp.card";"82.6";"81.7";"73.8";"78.0";"79.5";"80.2";"82.8";"82.5";"74.4";"78.0";"79.8";"80.5";"82.5";"80.9";"73.2";"78.1";"79.3";"80.0";"7.1";"7.0";"3.2";"3.2";"4.8";"5.7";"6.6";"6.7";"3.0";"3.0";"4.5";"5.6";"7.6";"7.4";"3.4";"3.5";"5.2";"5.9"
"Level of education: 1. Low";"73.6";"72.0";"63.7";"70.5";"72.8";"72.0";"75.8";"74.6";"67.8";"73.4";"76.1";"74.7";"71.8";"69.9";"60.4";"68.0";"69.9";"69.7";"5.9";"5.5";"2.9";"3.2";"4.5";"4.8";"5.7";"4.9";"2.7";"3.1";"4.3";"4.6";"6.1";"5.9";"3.1";"3.3";"4.6";"4.9"
"Level of education: 2 Intermediate";"86.0";"85.2";"77.1";"80.6";"82.3";"82.6";"85.2";"85.3";"77.6";"79.6";"82.1";"82.4";"86.8";"85.2";"76.5";"81.6";"82.6";"82.8";"9.5";"9.3";"4.3";"5.3";"6.8";"7.2";"8.5";"8.6";"3.8";"4.5";"6.0";"6.6";"10.6";"10.0";"4.9";"6.2";"7.6";"7.9"
"Level of education: 3 High";"87.2";"86.5";"79.2";"81.4";"82.5";"83.9";"85.5";"85.6";"77.3";"79.4";"80.5";"82.2";"88.9";"87.3";"81.2";"83.3";"84.6";"85.6";"11.3";"11.8";"4.8";"4.6";"7.1";"8.8";"10.4";"10.6";"4.2";"4.3";"6.5";"8.2";"12.2";"13.0";"5.3";"4.9";"7.7";"9.3"
"Participation: working 12 -29 h. a week";"89.6";"87.8";"82.7";"86.4";"86.8";"87.0";"83.0";"83.0";"77.2";"82.2";"83.8";"82.1";"91.3";"89.0";"84.1";"87.5";"87.5";"88.4";"7.8";"8.4";"3.9";"4.6";"6.4";"6.7";"10.2";"12.9";"5.4";"7.4";"9.5";"9.9";"7.3";"7.2";"3.5";"3.9";"5.6";"5.8"
"Participation: working >30 hours a week";"89.0";"88.7";"80.5";"82.8";"83.6";"84.8";"88.6";"88.4";"80.1";"82.0";"83.3";"84.5";"90.0";"89.3";"81.5";"84.3";"84.1";"85.5";"9.6";"9.9";"4.3";"4.0";"6.3";"7.8";"8.1";"8.3";"3.5";"3.4";"5.2";"6.7";"12.8";"13.4";"5.9";"5.0";"8.4";"9.8"
"Participation: student/pupil";"87.2";"86.4";"74.9";"80.0";"82.5";"83.6";"86.8";"86.3";"74.5";"78.6";"81.4";"82.6";"87.6";"86.4";"75.3";"81.6";"83.7";"84.6";"13.9";"13.0";"6.7";"7.9";"10.7";"11.3";"12.6";"11.2";"6.1";"6.5";"9.3";"9.8";"15.1";"14.7";"7.4";"9.3";"12.1";"12.8"
"Participation: unemployed";"75.2";"71.2";"66.1";"66.4";"66.3";"66.9";"72.3";"65.1";"64.1";"68.4";"70.4";"64.7";"78.5";"76.6";"68.1";"64.0";"62.0";"69.1";"6.6";"6.6";".";"5.0";"6.2";"9.6";".";".";".";".";".";".";".";".";".";".";".";"."
"Particip.: claiming disability benefit";"71.1";"67.8";"58.3";"67.1";"70.3";"70.2";"67.8";"66.1";"58.8";"65.3";"68.2";"70.3";"74.0";"69.3";"57.9";"68.6";"72.2";"70.2";"4.8";"5.6";".";".";"3.6";"3.4";".";".";".";".";".";".";".";".";".";".";".";"."
"Participation: retired";"69.8";"69.0";"62.7";"69.6";"71.6";"70.9";"70.4";"70.4";"64.9";"71.1";"73.3";"72.6";"69.1";"67.7";"60.4";"68.0";"70.0";"69.3";"3.8";"3.7";"1.4";"1.5";"2.0";"2.7";"3.4";"3.0";"1.0";"1.2";"1.6";"2.4";"4.3";"4.4";"1.9";"1.9";"2.4";"2.9"
"Participation: unemployed, other";"73.2";"71.0";"62.1";"67.8";"70.1";"70.5";"73.4";"72.2";"64.4";"67.7";"70.0";"71.9";"73.1";"70.6";"61.4";"67.8";"70.1";"70.0";"5.4";"5.0";"2.1";"2.9";"3.8";"4.6";"6.3";"6.4";".";".";"5.4";"5.0";"5.1";"4.5";"1.9";"2.8";"3.3";"4.5"
"Source: CBS"
